               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086781,            0.030009,                   0,             0.21257,             0.58282,             0.19777,            0.043609,            0.053474,            0.014561,                   0,             0.00247,             0.00247,             0.07777
                   1,            0.062564,            0.024527,                   0,             0.43015,             0.69325,             0.45498,              0.1414,            0.050309,           0.0094717,                   0,           0.0049495,           0.0049495,             0.05545
                   2,            0.056363,            0.019818,                   0,              0.6586,             0.59509,             0.63284,             0.23455,            0.044491,           0.0088284,                   0,           0.0074271,           0.0074271,            0.033127
                   3,            0.055718,            0.019063,                   0,             0.46557,             0.71618,              0.4384,             0.16118,            0.047725,           0.0077491,                   0,           0.0099012,           0.0099012,            0.010801
                   4,            0.050019,            0.018092,                   0,             0.70851,              0.8649,             0.79762,             0.33422,            0.037924,           0.0071779,                   0,           0.0099842,           0.0099842,           0.0099842
                   5,            0.046898,            0.018763,                   0,             0.74159,             0.70552,             0.75531,             0.32859,            0.038605,           0.0072797,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,              0.0444,            0.018495,                   0,             0.88955,             0.79059,             0.86171,             0.40724,            0.035439,           0.0072337,                   0,           0.0099753,           0.0099753,           0.0099753
                   7,            0.041085,             0.01723,                   0,             0.81691,             0.82209,             0.85851,             0.35598,            0.038291,           0.0067588,                   0,           0.0099645,           0.0099645,           0.0099645
                   8,            0.038984,            0.015925,                   0,             0.81059,              0.7362,             0.82054,             0.36869,            0.037589,           0.0069404,                   0,           0.0099517,           0.0099517,           0.0099517
                   9,            0.041083,            0.017742,                   0,             0.79812,             0.80368,             0.83187,             0.35003,            0.038505,           0.0065662,                   0,            0.009937,            0.009937,            0.009937
                  10,            0.039421,            0.016932,                   0,             0.84353,             0.76074,             0.83657,             0.32258,            0.038194,           0.0064581,                   0,           0.0099203,           0.0099203,           0.0099203
                  11,            0.039599,            0.015596,                   0,             0.87253,             0.84049,             0.87587,             0.38734,            0.035118,           0.0068829,                   0,           0.0099017,           0.0099017,           0.0099017
                  12,            0.037277,            0.015999,                   0,             0.86249,             0.84657,              0.8935,             0.42759,            0.033953,           0.0062274,                   0,           0.0098811,           0.0098811,           0.0098811
                  13,            0.037522,            0.017222,                   0,             0.94361,             0.82132,             0.88295,             0.44033,            0.034578,           0.0063663,                   0,           0.0098586,           0.0098586,           0.0098586
                  14,            0.037024,            0.017214,                   0,             0.87853,             0.84663,             0.88939,             0.46018,            0.031787,           0.0063807,                   0,           0.0098342,           0.0098342,           0.0098342
                  15,            0.036708,            0.014485,                   0,             0.85018,              0.9052,             0.90328,             0.40579,            0.034993,           0.0063095,                   0,           0.0098079,           0.0098079,           0.0098079
                  16,            0.037146,            0.015971,                   0,             0.84656,             0.91389,             0.92117,             0.48299,            0.033222,            0.006105,                   0,           0.0097798,           0.0097798,           0.0097798
                  17,            0.034452,            0.013958,                   0,             0.87202,             0.88344,             0.92389,             0.50082,            0.031289,           0.0058749,                   0,           0.0097497,           0.0097497,           0.0097497
                  18,            0.035425,            0.015626,                   0,             0.88476,             0.89496,             0.93175,              0.5057,            0.030918,           0.0058436,                   0,           0.0097178,           0.0097178,           0.0097178
                  19,            0.034472,            0.015047,                   0,             0.85951,             0.93835,             0.93291,             0.46278,            0.032239,           0.0059808,                   0,            0.009684,            0.009684,            0.009684
                  20,            0.035476,            0.014547,                   0,             0.93439,              0.8773,             0.94083,             0.46447,            0.032484,           0.0059723,                   0,           0.0096484,           0.0096484,           0.0096484
                  21,            0.033873,            0.014502,                   0,             0.88958,             0.89571,             0.93579,             0.47515,            0.032552,           0.0060438,                   0,            0.009611,            0.009611,            0.009611
                  22,            0.033671,            0.014521,                   0,             0.85372,              0.8951,             0.91273,             0.47224,            0.031455,           0.0060559,                   0,           0.0095717,           0.0095717,           0.0095717
